Station,Date,Range,HH,HHDate,LL,LLDate,Tide Stage,Tide Stage Fitted
8656483,2013-06-03T04:00:00,3.337,3.035,2013-06-02 20:18:00.0,-0.302,2013-06-02 14:12:00.0,2100,2100
8656483,2013-06-10T04:00:00,3.517,3.35,2013-06-10 01:42:00.0,-0.167,2013-06-09 18:30:00.0,4100,4100
8656483,2013-06-17T04:00:00,2.939,3.425,2013-06-16 05:48:00.0,0.486,2013-06-16 12:12:00.0,2200,2200
8656483,2013-06-24T04:00:00,5.131,4.508,2013-06-24 00:48:00.0,-0.623,2013-06-23 17:54:00.0,4100,4100
8656483,2013-07-01T04:00:00,3.537,3.425,2013-06-30 19:12:00.0,-0.112,2013-06-30 12:48:00.0,2100,2100
8656483,2013-07-08T04:00:00,3.468,3.422,2013-07-08 00:42:00.0,-0.046,2013-07-07 17:24:00.0,4200,4200
8656483,2013-07-15T04:00:00,2.923,3.422,2013-07-14 16:42:00.0,0.499,2013-07-14 10:12:00.0,2300,2300
8656483,2013-07-22T04:00:00,5.069,4.577,2013-07-22 00:06:00.0,-0.492,2013-07-21 16:54:00.0,4200,4200
8656483,2013-07-29T04:00:00,3.38,4.003,2013-07-28 04:30:00.0,0.623,2013-07-28 10:54:00.0,2300,2300
8656483,2013-08-05T04:00:00,3.294,3.947,2013-08-04 23:00:00.0,0.653,2013-08-04 16:54:00.0,4300,4200
8656483,2013-08-12T04:00:00,3.317,3.478,2013-08-11 15:54:00.0,0.161,2013-08-11 09:24:00.0,4000,4000
8656483,2013-08-20T04:00:00,4.711,4.593,2013-08-19 23:36:00.0,-0.118,2013-08-19 16:54:00.0,4200,4200
8656483,2013-08-26T04:00:00,3.429,4.239,2013-08-25 15:36:00.0,0.81,2013-08-25 09:30:00.0,2300,4000
8656483,2013-09-03T04:00:00,3.1959999999999997,3.606,2013-09-02 22:48:00.0,0.41,2013-09-02 15:54:00.0,4300,4300
8656483,2013-09-09T04:00:00,3.599,4.022,2013-09-08 14:30:00.0,0.423,2013-09-08 07:54:00.0,4000,4000
8656483,2013-09-16T04:00:00,3.789,3.96,2013-09-15 21:12:00.0,0.171,2013-09-15 14:54:00.0,2000,2000
8656483,2013-09-23T04:00:00,4.131,4.646,2013-09-22 14:36:00.0,0.515,2013-09-22 08:12:00.0,4000,4000
8656483,2013-09-30T04:00:00,2.458,3.862,2013-09-29 20:30:00.0,1.404,2013-09-29 13:54:00.0,2000,2000
8656483,2013-10-07T04:00:00,4.078,4.347,2013-10-06 13:30:00.0,0.269,2013-10-06 06:42:00.0,4100,4100
8656483,2013-10-21T04:00:00,3.9339999999999997,4.403,2013-10-20 13:12:00.0,0.469,2013-10-20 06:42:00.0,4100,4100
8656483,2013-11-05T05:00:00,4.6160000000000005,4.331,2013-11-04 13:24:00.0,-0.285,2013-11-04 06:24:00.0,4200,4200
8656483,2013-12-09T05:00:00,3.6390000000000002,4.275,2013-12-08 17:24:00.0,0.636,2013-12-08 10:54:00.0,2300,2300
8656483,2014-01-09T05:00:00,3.549,3.346,2014-01-08 06:06:00.0,-0.203,2014-01-09 01:00:00.0,2200,2200
8656483,2014-02-17T05:00:00,3.566,3.468,2014-02-16 13:54:00.0,-0.098,2014-02-16 06:30:00.0,4200,4200
8656483,2014-03-24T04:00:00,3.274,3.333,2014-03-23 04:36:00.0,0.059,2014-03-23 23:54:00.0,2200,2200
